Matrice de covariance;OR FP Equity;DG FP Equity;URW NA Equity;FP FP Equity;DSY FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;VIV FP Equity;EL FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;UG FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;ALO FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;ACA FP Equity;ATO FP Equity;RI FP Equity;STM FP Equity
OR FP Equity;3269.138537;1047.10824;-771.8428464;77.66150022;2191.969767;1087.938798;174.7293936;51.16366926;391.4962225;1546.365075;-138.216012;11.57343234;142.2931507;1228.483033;5260.109675;931.4141745;8010.228289;162.8206579;-6.197906581;154.0583046;1774.924851;1384.122191;3697.307049;8960.607011;-174.5581223;24.66353378;-456.5472748;187.4233631;210.8800905;168.1481909;459.770467;-105.501982;666.0033995;1514.725451;761.0166895;71.91674188;882.4190061;1574.56155;314.2911709
DG FP Equity;1047.10824;407.8426386;-110.8042581;52.42247733;722.4366987;337.2712018;73.45875988;64.78276259;151.5867865;570.6592153;-45.04026223;34.16341045;50.75291258;425.9396902;1750.706346;377.6952909;2727.97192;78.42147331;22.17069813;128.7254425;649.9826206;556.441946;1214.130104;2906.998987;-53.23646189;19.68835067;-121.0889647;91.86750155;72.66101492;71.02449502;121.4738398;11.86977314;207.3524735;582.0756101;271.8659861;36.49749402;353.7909071;541.7107162;108.9657266
URW NA Equity;-771.8428464;-110.8042581;2469.121932;135.0750546;-723.8578859;-347.790243;100.7961383;308.5702533;58.31255141;-1.886392743;160.9475628;166.1827246;-22.84732496;179.8177201;-2289.097427;274.7506585;-3574.22852;-13.67952032;546.4067483;905.6893022;-274.510393;132.9710501;-1410.824694;-3475.748283;6.861692532;42.59196256;-35.23507811;75.55953236;-211.6856477;1.052583946;113.5553822;369.3142554;-243.7415612;-95.64945616;-21.06004571;61.02379333;152.7321565;-334.3157809;-149.0500099
FP FP Equity;77.66150022;52.42247733;135.0750546;31.36429718;52.7231544;20.78512298;17.41325045;36.13863639;23.73700919;77.23901847;4.995698662;16.83682334;7.976415441;54.60058222;105.4843314;72.26120624;225.6252354;14.96531077;41.24782791;79.49601068;90.79371955;95.2682566;64.22689823;148.0152266;-2.465272875;5.988911201;-1.613048666;20.22155679;2.365802093;8.145653386;17.88293731;33.65946077;14.44248878;99.8820516;34.21402974;11.42067352;51.75775852;61.68668312;5.865066592
DSY FP Equity;2191.969767;722.4366987;-723.8578859;52.7231544;1549.665295;733.4424943;106.7691612;9.040418083;258.2143167;1051.272376;-120.2801621;-9.071704894;95.61961995;798.6393133;3729.019379;604.2596325;5816.134043;119.6533829;-62.7883022;33.81868524;1235.623623;960.304238;2578.888681;6282.430904;-116.5263888;15.64670421;-280.6657671;124.1784644;167.0839004;111.7856102;256.5245266;-101.8846249;439.845969;1063.591526;506.5312001;42.78311613;587.4409872;1093.35221;225.4596678
AI FP Equity;1087.938798;337.2712018;-347.790243;20.78512298;733.4424943;391.4431575;54.84092456;13.12509199;119.6738582;499.3048608;-45.9970331;2.69505136;51.03401227;390.6191702;1809.859062;290.7163567;2722.627872;53.13991503;-25.04434615;12.25119167;581.582153;408.2161859;1257.675833;3019.531886;-51.38070525;6.625723971;-142.4017763;64.54813374;83.01173051;55.54470825;160.670355;-40.93794474;243.183721;486.6991278;252.082836;24.2255802;272.8146167;518.993313;111.9571099
CS FP Equity;174.7293936;73.45875988;100.7961383;17.41325045;106.7691612;54.84092456;22.09560877;34.27337564;31.6817016;114.7019253;2.538230946;17.4118183;10.42166372;93.21980781;234.2107752;91.68238252;358.4830778;15.65117039;34.54205345;75.45766417;116.2789311;112.8143595;172.7971443;395.6300245;-9.725864571;5.886115409;-25.73604807;23.94435084;5.048398628;14.75537458;36.90466165;26.84398401;33.79155644;111.3104764;55.0988074;12.05498954;77.53991818;89.88901913;14.69263885
BNP FP Equity;51.16366926;64.78276259;308.5702533;36.13863639;9.040418083;13.12509199;34.27337564;102.7402709;27.14845183;106.0957125;24.45494726;54.3100963;10.91932197;70.69059709;1.212245793;137.5520837;43.70567969;24.30135925;84.97045012;167.8639786;73.20559226;114.9686444;16.85716565;-55.13581192;0.190676518;10.5457107;15.87567416;44.33348009;0.166914959;18.83489965;35.66917302;98.85788437;28.49565815;90.36038621;54.65975298;26.41150655;110.9383756;35.27571004;9.756835958
BN FP Equity;391.4962225;151.5867865;58.31255141;23.73700919;258.2143167;119.6738582;31.6817016;27.14845183;71.62354035;216.7773807;-13.85502772;12.56845102;17.86449571;184.9338072;603.9804793;152.281113;927.030868;26.26988254;30.68958212;82.60262716;251.3175077;219.6152214;412.5413762;1028.335319;-22.95643937;7.527857597;-59.96787508;32.44759845;17.30782751;24.87842403;58.35084544;7.178821809;66.27426406;234.4281592;102.9391775;13.88300954;137.5041053;213.9885791;33.74180298
CAP FP Equity;1546.365075;570.6592153;-1.886392743;77.23901847;1051.272376;499.3048608;114.7019253;106.0957125;216.7773807;878.7269167;-51.85987691;55.41206737;75.88814809;663.0285386;2429.138955;567.1753334;3789.549166;112.1276398;78.61091787;267.9266376;922.0048195;824.8821364;1739.959701;4147.911098;-83.78631869;30.91268628;-200.1997236;137.5586336;93.56216773;103.0425178;207.1499805;34.52186792;297.1785183;819.0994833;406.0559632;56.86535903;526.1554778;775.794243;150.2108744
CA FP Equity;-138.216012;-45.04026223;160.9475628;4.995698662;-120.2801621;-45.9970331;2.538230946;24.45494726;-13.85502772;-51.85987691;28.36469481;13.98377915;-1.49997386;-36.96838024;-314.1354773;-18.74886235;-526.7444212;-1.786955017;36.39539439;50.09372213;-80.92726577;-58.02681895;-199.3129033;-545.1781304;11.76194532;3.300974127;19.25898968;2.130358326;-15.49398751;1.264143667;2.236410124;36.80308595;-21.8315201;-68.17303888;-23.80673872;4.624286749;-37.13526062;-82.64899567;-19.66200965
SGO FP Equity;11.57343234;34.16341045;166.1827246;16.83682334;-9.071704894;2.69505136;17.4118183;54.3100963;12.56845102;55.41206737;13.98377915;37.21897185;4.821756455;28.37541597;-21.86223699;73.26327252;-41.54594856;15.96292807;43.27328158;91.38104932;21.03237147;54.24226711;-0.952656298;-50.96593178;2.277359817;7.626420184;14.4616937;26.91553053;-0.703971083;12.17856817;10.67890624;53.50748843;15.88301456;29.14649608;27.32222161;13.97407704;61.26238266;1.777415828;5.370899559
VIV FP Equity;142.2931507;50.75291258;-22.84732496;7.976415441;95.61961995;51.03401227;10.42166372;10.91932197;17.86449571;75.88814809;-1.49997386;4.821756455;10.31976064;50.80273581;238.9594655;46.26041749;370.1655844;12.64837989;2.71933035;15.2877812;89.17510125;62.43951073;161.0766014;367.8645407;-3.745441962;3.27026628;-11.53192544;14.08245552;13.29633778;11.24990098;19.99016007;4.677164659;32.6133804;78.03992153;36.0572706;6.472598058;35.941912;72.7417696;14.372399
EL FP Equity;1228.483033;425.9396902;179.8177201;54.60058222;798.6393133;390.6191702;93.21980781;70.69059709;184.9338072;663.0285386;-36.96838024;28.37541597;50.80273581;606.5914721;1779.54929;437.7702679;2654.570458;61.48748279;100.1810647;244.8741978;711.5421503;630.3585117;1298.578576;3159.687583;-79.62949788;18.15118295;-220.1984863;89.94619941;39.93395486;69.97659338;216.7755561;16.22558954;214.5070473;636.6611612;318.7035783;38.08033155;407.6308616;611.7100181;102.2079198
