#NAME?;OR FP Equity;DG FP Equity;URW NA Equity;FP FP Equity;DSY FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;CAP FP Equity;CA FP Equity;SGO FP Equity;VIV FP Equity;EL FP Equity;MC FP Equity;ML FP Equity;KER FP Equity;UG FP Equity;PUB FP Equity;RNO FP Equity;SAF FP Equity;HO FP Equity;TEP FP Equity;RMS FP Equity;ENGI FP Equity;ORA FP Equity;MT NA Equity;EN FP Equity;ALO FP Equity;VIE FP Equity;SAN FP Equity;GLE FP Equity;SU FP Equity;AIR FP Equity;LR FP Equity;ACA FP Equity;ATO FP Equity;RI FP Equity;STM FP Equity
DATES;px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d');px_last(start='-10y',end='0d')
23/10/2010;86,79;39,35;152;39,05;25,88;64,01829094;13,35;52,84;45,67;37,335;34,03459888;34,81;19,8580248;47,36;104,542332;60,26;107,2856637;21,45999393;36,635;43,19;21,84;29;23,01;202,85;28,085;16,695;55,22184097;32,345;37,405;20,84;49,87;43,475;50,875;18,09;27,465;11,91;25,89152102;65,35;5,91
24/10/2010;86,55;39,015;153,05;39,125;25,885;63,33972233;13,36;52,6;45,63;37,03;33,93413741;34,46;19,7322186;48,105;101,2528535;59,24;107,6516702;21,18930783;36,335;41,91;21,705;29,115;23,01;179;28,3;16,785;52,48502711;32,29;37,36;20,85;49,685;43,9;50,8;18,255;27,45;11,95;26,01629033;65;5,908
25/10/2010;85,25;38,61;152,05;38,6;25,955;62,16885886;13,15;52,65;44,94;36,395;33,71574291;33,97;19,4902836;48,125;100,8923627;57,79;107,697421;20,75621007;36,13;40,62;22,1;29,025;22,96;162,95;27,805;16,68;51,97739228;31,725;37,295;20,825;49,53;43,27;50,55;18,385;27,37;11,81;25,55880288;63,98;6,14
26/10/2010;85,56;38,75;151,1;39,06;27,94;61,98258513;13,2;52,78;45,07;36,78;33,95597686;34,07;19,7031864;48,01;101,2528535;57,66;108,4751849;20,72372774;36,14;39,57;22,325;29,05;22,955;160,45;28,25;17,2;51,33733097;31,89;36,57;21,01;49,7;43,365;50,825;18,61;27,56;11,92;25,37732026;63,9;6,329
27/10/2010;84,36;38,38;149,7;39,045;27,555;61,82957456;13,08;52,55;45,475;36,655;33,87735484;33,56;19,8338313;47,98;101,4781602;57,15;107,7889227;20,64432648;35,79;39,925;22,78;29,295;22,66;152,45;28,68;17,265;50,97315816;31,665;36,26;21,105;50,18;43,025;51;18,885;27,74;11,775;25,12400076;63,71;6,284
28/10/2010;85,61;38,435;147,75;39,25;28,31;62,36178523;13,11;52,17;45,71;36,705;33,89919429;33,8;19,548348;47,655;102,1540805;57,39;107,3314145;20,74899177;36,195;39,665;23,38;29,545;23,32;144,9;28,465;17,225;51,91117904;31,645;36,36;21,05;50,44;42,595;51,875;19,125;28;11,745;25,00679323;63,81;6,307
29/10/2010;85,47;38,72;149,9;39,85;28,035;62,80085903;13,2;52,21;45,89;37,36;33,82930805;34,255;19,548348;48,205;103,3707369;57,53;107,5144178;20,46386908;36,16;39,01;23,45;29,975;22,97;154,2;28,74;17,36;53,11405287;31,72;36,595;21,285;50,53;42,1;52,3;19,28;27,905;11,965;25,15424786;64,58;6,312
30/10/2010;84,63;38,22;146,85;39,575;27,69;62,08237463;13,07;52,45;45,545;36,58;33,26585024;34,205;19,403187;48,005;104,542332;57,15;107,6059194;20,28702083;36,105;38,885;23,48;29,085;22,25;157,85;28,095;17,185;53,6768654;31,89;36,405;20,9;49,99;42,91;51,275;19,025;28,03;11,88;25,04460211;64,19;6,378
31/10/2010;86,46;39,345;149,35;40,62;27,745;63,39959603;13,44;54,37;46,315;34,95;33,4580374;35,69;19,7080251;47,835;107,4262584;57,7;107,7431719;20,54327034;35,965;39,78;23,1;29,11;23,23;156,9;28,64;17,18;54,93491693;32,455;35,795;21,1;50,79;44,845;52,7;18,255;28,7;12,465;25,0181359;64,23;6,432
01/11/2010;86,1;39,475;150,5;40,585;27,48;63,91850144;13,72;53,8;46,4;34,585;33,21343556;36,335;19,7709282;48,085;107,3361357;56,21;106,8739064;20,84282962;35,77;40,5;23,16;28,89;23,17;156,5;28,71;17,165;56,43575034;32,68;34,375;21,36;51;44,015;52,875;18,4;28,75;12,14;24,45478358;63,05;6,446
02/11/2010;85,79;39,55;149,65;40,455;27,545;63,46612237;13,575;54,3;46,47;34,2;33,12607776;36,565;19,7515734;47,97;107,0207063;57,14;105,3641294;21,0593785;35,73;41,35;22,99;29,02;23,265;154,35;28,705;17,085;57,03166949;32,585;33,715;21,055;51,03;44,09;52,85;18,52;28,895;12,085;23,9783917;63,14;6,491
03/11/2010;86,21;39,79;149,95;41,125;27,5;63,35968023;13,765;54,81;47,155;34,845;33,195964;37,12;20,0902824;47,975;106,0744179;57,46;105,730136;21,8714368;35,92;43,125;22,7;29,365;23,515;166,05;28,87;17,23;57,89244159;33,115;33,9;20,87;51,19;44,19;52,5;18,555;28,94;12,225;24,20146409;63,3;6,672
04/11/2010;85,89;39,865;146,25;40,75;27,465;62,46822736;13,4;53,5;46,58;34,56;32,92952271;36,74;20,0031858;48,12;105,2633136;55,49;104,6321164;21,36254693;35,845;42,09;22,565;29,125;23;161,05;27,69;17,05;57,04270503;33,64;34,315;21,625;50,47;42,825;51,625;19,095;29,17;11,66;24,12206544;62,73;6,549
05/11/2010;86,1;39,81;145,2;40,835;27,095;62,46157473;13,255;52,67;46,6;34,3;32,99504106;35,775;19,9015731;48,04;106,209602;55,59;103,0308378;21,28314568;35,565;42,02;22,39;28,775;22,525;152,65;27,22;16,94;57,3406646;33,105;34,135;21,78;50;41,92;51,95;19,005;29,05;11,385;23,80825174;63,21;6,326
06/11/2010;85,33;39,585;144,15;39,47;27,095;61,48363762;13,24;52,98;46,125;34,09;32,8465328;35,57;19,548348;48;104,6324547;55,5;105,5928835;21,11351572;35,195;41,465;22,28;28,78;22,44;151,05;27,025;16,805;55,82879565;32,87;33,82;21,73;49,48;42,41;51,8;18,16;28,58;11,58;23,59274112;62,7;6,433
07/11/2010;85,94;40,195;145,75;39,77;27,01;62,21542729;13,54;53,4;46,455;34,48;33,1522851;36,085;19,8338313;47,995;105,308375;56,6;106,5078998;21,26870908;34,925;42,12;22,565;28,975;22,705;149,3;27,62;16,895;56,30332386;33,085;33,76;21,78;49,59;42,595;52,65;18,03;28,97;11,525;24,05022857;63,14;6,449
08/11/2010;84,86;39,255;141,5;38,45;26,695;60,47243735;12,87;51,53;46,225;33,685;33,08239886;35,01;19,2193164;47,97;103,641105;55,32;105,226877;20,49635141;34,255;40,925;21,825;28,425;22,375;145,6;26,85;16,58;53,74307864;32,335;33,105;21,665;48,665;40,68;50,65;17,19;28,565;11;23,72885309;62,53;6,394
09/11/2010;85,73;39,725;142,45;38,595;26,525;60,80506902;12,73;52,3;46,13;34,045;33,16538877;35,725;19,3741548;48,455;103,7762891;55,66;105,4556311;20,94388576;34,405;41,36;21,53;27,225;22,465;146,3;27,015;16,595;54,4824598;32,46;33,495;21,68;49,5;41,5;51,55;17,32;28,805;11,06;23,73641486;62,65;6,422
10/11/2010;87,19;40,475;143,7;39,02;27,05;61,92936406;12,935;53,64;46,655;34,695;34,03459888;36,85;19,7128638;48,56;106,344786;56,15;107,9719259;22,12407716;34,705;42,9;22,64;27,46;22,54;144,9;27,745;16,82;55,42048068;32,705;33,95;22,11;50,32;42,82;54,65;17,32;29,255;11,12;24,05779034;64,15;6,662
11/11/2010;87,33;40,525;142,1;38,79;27,06;61,77635349;12,835;53,28;46,98;33,595;33,38815116;37,4;19,8967344;48,14;107,6065038;55,35;108,2921817;22,43446388;34,755;43,155;23,655;27,275;22,2;144,5;27,885;16,8;54,95698801;32,66;33,99;22,47;50;41,84;55,5;17,32;29,22;10,99;23,74775753;64,06;6,754
12/11/2010;86,21;40,1;139,8;38,395;26,86;61,47698499;12,605;52,13;46,84;33,765;32,92078693;36,91;19,6886703;47,74;107,9669946;54,75;109,5274537;22,64018532;33,905;43,795;23,345;26,5;21,92;142;27,945;16,655;53,85343404;32,4;33,485;22,33;49,34;40,66;55,45;16,97;29,32;10,575;23,9443637;63,84;6,684
13/11/2010;84,11;39,37;138,15;37,77;26,9;60,35268995;12,16;50,14;45,88;33,81;31,69340984;36;19,1902842;47,495;105,2633136;54,1;107,468667;22,19265097;33,77;42,56;23,695;26,62;21,625;140,95;27,075;16,23;52,29742293;31,83;32,895;21,97;48,235;38,755;53,375;16,675;28,94;10,125;23,74019575;62,54;6,587
14/11/2010;84,92;39,7;138,05;37,925;26,795;60,87824799;12,1;49,92;46,145;33,96;31,84628599;36,395;19,2677034;47,84;107,2009517;54,1;109,8477094;22,2323516;34,68;43,235;24,51;26,995;21,84;140,35;27,02;16,235;52,38570725;31,94;32,5;21,69;48,495;38,8;54,375;17,51;29,78;10,195;23,89521216;63,57;6,731
15/11/2010;85;39,65;138,5;37,97;26,43;61,72313242;12,135;49,82;46,25;33,785;31,64973094;36,295;19,209639;47,865;108,913283;54,67;114,0110337;22,5860481;34,7;43,915;24,55;26,955;22,065;139,2;26,84;16,225;53,8423985;31,825;32,2;21,515;48,53;38,775;54,575;17,5;29,38;10,16;24,07669478;64,66;6,823
16/11/2010;84,66;39,175;137,65;37,735;26,435;61,41711129;11,885;48,735;45,775;33,485;31,81571076;35,995;18,822543;47,905;108,012056;54,1;114,1940369;21,96888379;34,715;42,995;24,61;27,285;22,17;142,6;26,465;16,185;53,00369747;31,555;31,825;21,015;48,42;38,41;54,725;17,46;29,36;10,06;23,58517934;64;7,011
17/11/2010;82,05;38,265;134,85;37,1;25,965;59,87370035;11,47;47,18;45,18;32,395;31,11684836;34,985;18,435447;47,23;105,4886204;52,17;111,9979978;21,31201886;34,375;41,245;23,86;27,07;22,455;142;25,585;15,755;52,69470236;30,74;30,945;20,52;46,97;37,05;53,55;17,215;28,88;9,7;23,23355676;62,72;6,9
18/11/2010;81,93;37,3;133,95;37,315;26,355;60,00675301;11,06;45,6;45,125;32,49;30,44856119;34,515;18,1886733;48,135;105,308375;52,12;111,9979978;20,73094603;34,425;40,38;24,135;27,01;22,965;146;25,55;15,6;53,59961662;30,74;31,735;20,285;46,58;35,705;54,075;17,26;29,405;9,441;23,78178552;62,79;6,907
19/11/2010;82,5;37,75;136,7;37,62;26,78;60,66536372;11,42;46,55;45,78;32,685;28,7407162;35,075;18,8515752;48,415;106,7953995;53,4;113,5992763;21,62962388;35,1;42,45;25,275;27,435;23,655;157,7;25,65;15,77;55,58601378;31,49;32,04;20,23;47,8;37,315;55,6;17,48;29,985;9,836;24,50015424;63,6;6,957
20/11/2010;84,78;38,24;142,9;38,035;27,075;60,99799539;11,815;48,025;46,96;32,8;29,55314374;36,405;19,0015749;48,83;110,1299394;55,7;116,664581;22,39115411;35,875;44,105;25,705;27,915;24,34;166,05;26,295;15,905;56,75578099;31,88;32,46;20,36;47,96;39,01;58,025;17,58;31,08;10,115;24,7005413;66,23;6,971
