DATES;OR FP Equity;DG FP Equity;ASML NA Equity;SAN SQ Equity;PHIA NA Equity;FP FP Equity;AI FP Equity;CS FP Equity;BNP FP Equity;BN FP Equity;EL FP Equity;VIV FP Equity;MC FP Equity;KER FP Equity;AMS SQ Equity;SAF FP Equity;AD NA Equity;IBE SQ Equity;UNA NA Equity;INGA NA Equity;LIN GY Equity;PRX NA Equity;ITX SQ Equity;KNEBV FH Equity;ISP IM Equity;ENI IM Equity;ENGI FP Equity;ABI BB Equity;ADYEN NA Equity;SAN FP Equity;ENEL IM Equity;NOKIA FH Equity;SU FP Equity;ALV GY Equity;AIR FP Equity;BAYN GY Equity;BMW GY Equity;CRH ID Equity;BAS GY Equity;SIE GY Equity;VOW3 GY Equity;MUV2 GY Equity;SAP GY Equity;RI FP Equity;ADS GY Equity;DTE GY Equity;DPW GY Equity;DAI GY Equity;DB1 GY Equity;VNA GY Equity
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/10/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
24/10/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
25/10/2010;86,79;39,35;23,64;9,295587756;22,38100139;39,05;64,01829094;13,35;52,84;45,67;47,36;19,8580248;104,542332;107,2856637;14,19;21,84;11,3089843;5,95;21,555;8,12;#N/A;#N/A;12,06;19,71;2,429103761;16,18;28,085;45,73;#N/A;49,87;4,0325;7,96;50,875;89,08;18,09;54,125225;50,72;12,585;53,11;73,02766324;103,35;110;38,175;65,35;47,765;10,04;13,705;49,7;52,27;#N/A
26/10/2010;86,55;39,015;23,62;9,17657748;22,21438128;39,125;63,33972233;13,36;52,6;45,63;48,105;19,7322186;101,2528535;107,6516702;14,34;21,705;11,28020826;5,947;21,35;7,95;#N/A;#N/A;11,962;19,625;2,433793151;16,02;28,3;45,085;#N/A;49,685;4,035;7,86;50,8;89,21;18,255;54,2236345;50,44;12,5;52,69;72,22949878;104,65;110,75;38,3;65;47,125;10,13;13,635;48,74;51,8;#N/A
27/10/2010;85,25;38,61;24,085;9,02904408;21,74882508;38,6;62,16885886;13,15;52,65;44,94;48,125;19,4902836;100,8923627;107,697421;14,32;22,1;11,3504218;5,979;21,635;7,861;#N/A;#N/A;11,844;19,535;2,429103761;15,71;27,805;44,42;#N/A;49,53;4,0225;7,825;50,55;89,06;18,385;54,0071336;49,875;12,3;52,22;71,36116601;104,45;110,05;37,23;63,98;46,71;10,13;13,52;47,62;51,3;#N/A
28/10/2010;85,56;38,75;23,895;8,996586732;21,80763218;39,06;61,98258513;13,2;52,78;45,07;48,01;19,7031864;101,2528535;108,4751849;14,57;22,325;11,40452076;6,022;21,23;7,87;#N/A;#N/A;11,87;19,445;2,426759066;16,15;28,25;44,5;#N/A;49,7;4,08;7,89;50,825;90,05;18,61;53,1214481;49,845;12,45;52,37;72,28212501;107,35;112,2;37,085;63,9;47,095;10,44;13,61;46,98;50,64;#N/A
29/10/2010;84,36;38,38;23,71;9,079205436;21,29797067;39,045;61,82957456;13,08;52,55;45,475;47,98;19,8338313;101,4781602;107,7889227;14,635;22,78;11,42984368;6,06;21,345;7,67;#N/A;#N/A;12,002;19,25;2,370486392;16,19;28,68;45,035;#N/A;50,18;4,1025;7,76;51;90,04;18,885;52,7671739;51,51;12,305;52,28;71,99268075;108;112,35;37,47;63,71;46,87;10,41;13,4;47,43;50,56;#N/A
30/10/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
31/10/2010;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
01/11/2010;85,61;38,435;24,04;8,804793312;21,42048545;39,25;62,36178523;13,11;52,17;45,71;47,655;19,548348;102,1540805;107,3314145;14,58;23,38;11,45286451;6,01;21,37;7,805;#N/A;#N/A;11,788;19,545;2,335315971;16,15;28,465;45,22;#N/A;50,44;4,0775;7,56;51,875;89,91;19,125;53,36747185;52,96;12,475;52,57;72,10670424;105,05;112,25;37,2;63,81;46,92;10,45;13,235;47,655;49,8;#N/A
02/11/2010;85,47;38,72;24,13;8,858888892;21,75372567;39,85;62,80085903;13,2;52,21;45,89;48,205;19,548348;103,3707369;107,5144178;14,72;23,45;11,51041659;6,099;21,43;7,905;#N/A;#N/A;11,746;19,385;2,361107613;16,27;28,74;44,9;#N/A;50,53;4,1075;7,585;52,3;90,6;19,28;53,6331775;52,35;12,65;54,23;72,54525615;105,8;112,75;37,385;64,58;47,81;10,535;13,425;48,41;50,07;#N/A
